MIAE002c01a_pT4SSi_1	GCF0000001
PSPU012c01a_T5aSS_3	GCF0000002
MIAE002c01a_Tad_1	GCF0000003
MAMA001c01a_Tad_1	GCF0000004
LEBU001c01a_T5aSS_3	GCF0000005
DESU001c01a_T4SS_typeT_1	GCF0000006
NEGO002c01a_T4SS_typeF_1	GCF0000007
FLPS001c01a_T1SS_1	GCF0000008
SARU001c01a_T1SS_1	GCF0000009
POGL001c01a_T1SS_1	GCF0000010
PSFO001c01a_T1SS_3	GCF0000011
BRSP002c01a_T5aSS_6	GCF0000012
CEJA001c01a_T1SS_1	GCF0000013
VINI001c02a_T1SS_3	GCF0000014
DESA001c01a_T1SS_3	GCF0000015
VAPA003c01a_T5cSS_1	GCF0000016
BAFR003c01a_T1SS_1	GCF0000017
AGTU001c01a_T5aSS_1	GCF0000018
TRSU001p01a_pT4SSt_1	GCF0000019
DEBR001c01a_T5aSS_3	GCF0000020
DEPS001c01a_T5aSS_8	GCF0000021
DESL001c01a_T1SS_3	GCF0000022
BRMI001c01a_T5cSS_1	GCF0000023
RAEU001c01a_T1SS_1	GCF0000024
BUCE001c02a_T5aSS_1	GCF0000025
BUTH001c02a_T5aSS_2	GCF0000026
BOBR003c01a_T5aSS_13	GCF0000027
HIBA001c01a_T1SS_2	GCF0000028
JASP001c01a_T5aSS_7	GCF0000029
BUPE001c02a_T5cSS_2	GCF0000030
PSFL006c01a_T5aSS_2	GCF0000031
PSRE001c01a_T5aSS_1	GCF0000032
MESP001c01a_T5aSS_1	GCF0000033
PHZU001c01a_T5bSS_1	GCF0000034
FUNU002c01a_T4SS_typeT_1	GCF0000035
ILPO001p02a_T4SS_typeT_1	GCF0000036
HYDE002c01a_T5bSS_1	GCF0000037
SESP001c01a_T5bSS_3	GCF0000038
RUMA001c01a_T1SS_1	GCF0000039
THDE001c01a_T5bSS_2	GCF0000040
ACMA001p05a_T4SS_typeC_1	GCF0000041
BUPS008c02a_T5aSS_1	GCF0000042
GEMA001c01a_T5bSS_1	GCF0000043
