CACZAD010000010.1_cluster_1	GCF0000001
JAAIKC010000003.1_cluster_1	GCF0000002
WYDT01000002.1_cluster_2	GCF0000003
BGC0000334	GCF0000004
BGC0001358	GCF0000005
CP009283.1_cluster_4	GCF0000006
MPTB01000102.1_cluster_1	GCF0000007
MPTF01000015.1_cluster_1	GCF0000008
CP012033.1_cluster_1	GCF0000009
REDT01000194.1_cluster_1	GCF0000010
CAJXMJ010000003.1_cluster_1	GCF0000011
SLKI01000086.1_cluster_1	GCF0000012
AQXH01000009.1_cluster_1	GCF0000013
RHLJ01000003.1_cluster_1	GCF0000014
CP051242.1_cluster_2	GCF0000015
CP030887.1_cluster_1	GCF0000016
SDVD01000003.1_cluster_1	GCF0000017
LMMQ01000008.1_cluster_1	GCF0000018
CAIQON010000211.1_cluster_1	GCF0000019
CAJMJO010000028.1_cluster_1	GCF0000020
URJY01000002.1_cluster_1	GCF0000021
JADKBX010000007.1_cluster_1	GCF0000022
JACPEG010000006.1_cluster_1	GCF0000023
JADJPY010000002.1_cluster_1	GCF0000024
JAAFIW010000011.1_cluster_1	GCF0000025
CACWCX010000022.1_cluster_1	GCF0000026
CADCBH010000010.1_cluster_1	GCF0000027
BGC0002146	GCF0000028
BGC0002264	GCF0000029
BGC0002273	GCF0000030
JAITYC010000031.1_cluster_1	GCF0000031
BGC0001544	GCF0000032
BGC0001659	GCF0000033
BGC0001775	GCF0000034
BGC0001706	GCF0000035
BGC0001776	GCF0000036
BGC0002618	GCF0000037
JAITYB010000060.1_cluster_1	GCF0000038
JAITYB010000013.1_cluster_2	GCF0000039
JAFLWD010000006.1_cluster_1	GCF0000040
CP002508.1_cluster_2	GCF0000041
JABEPJ010000007.1_cluster_1	GCF0000042
AZIO01000122.1_cluster_1	GCF0000043
JAHRHA010000164.1_cluster_1	GCF0000044
KI912613.1_cluster_5	GCF0000045
CAQK01000606.1_cluster_1	GCF0000046
JABBFX010000001.1_cluster_2	GCF0000047
SBAV01000026.1_cluster_1	GCF0000048
FUKI01000165.1_cluster_1	GCF0000049
QGKL01000007.1_cluster_1	GCF0000050
BGC0001749	GCF0000051
BGC0001624	GCF0000052
BGC0002233	GCF0000053
BGC0002234	GCF0000054
BGC0001563	GCF0000055
BGC0001741	GCF0000056
BGC0000046	GCF0000057
BGC0000355	GCF0000058
BGC0001142	GCF0000059
BGC0001571	GCF0000060
BGC0002217	GCF0000061
BGC0001398	GCF0000062
JACVCG010000001.1_cluster_1	GCF0000063
NZMA01000024.1_cluster_1	GCF0000064
JAHJOO010000033.1_cluster_1	GCF0000065
BGC0002487	GCF0000066
BBAA01000020.1_cluster_2	GCF0000067
BBCG01000032.1_cluster_1	GCF0000068
JAGT01000001.1_cluster_1	GCF0000069
DNQF01000098.1_cluster_1	GCF0000070
JAIBAG010000001.1_cluster_1	GCF0000071
WPHR01000058.1_cluster_1	GCF0000072
JAAXSN010000038.1_cluster_1	GCF0000073
CAJQPP010000089.1_cluster_1	GCF0000074
CP002546.1_cluster_1	GCF0000075
CP037920.1_cluster_1	GCF0000076
JAFEXF010000190.1_cluster_1	GCF0000077
VCHX02000034.1_cluster_1	GCF0000078
FXTJ01000013.1_cluster_1	GCF0000079
CP001867.1_cluster_2	GCF0000080
FMZF01000002.1_cluster_1	GCF0000081
KB900664.1_cluster_1	GCF0000082
SFAQ01000040.1_cluster_1	GCF0000083
JDFY01000001.1_cluster_7	GCF0000084
JAIEMG010000058.1_cluster_1	GCF0000085
JAEUIJ010000015.1_cluster_1	GCF0000086
JAIBBY010000004.1_cluster_1	GCF0000087
LYVF01000106.1_cluster_1	GCF0000088
UREX01000003.1_cluster_1	GCF0000089
CP000699.1_cluster_2	GCF0000090
JAFEDK010000005.1_cluster_2	GCF0000091
SDKK01000013.1_cluster_1	GCF0000092
FOFM01000020.1_cluster_1	GCF0000093
PBLF01000004.1_cluster_1	GCF0000094
SWDP01000034.1_cluster_1	GCF0000095
SCVN01000023.1_cluster_2	GCF0000096
VBOJ01000034.1_cluster_1	GCF0000097
SCVQ01000273.1_cluster_1	GCF0000098
VGXG01000005.1_cluster_1	GCF0000099
JAHBEV010000004.1_cluster_1	GCF0000100
QXPZ01000010.1_cluster_1	GCF0000101
JAEDFL010000003.1_cluster_1	GCF0000102
JAFQEL010000030.1_cluster_1	GCF0000103
CAADZK010000054.1_cluster_1	GCF0000104
JDVC01000011.1_cluster_1	GCF0000105
JAGZJZ010000042.1_cluster_1	GCF0000106
DDUU01000024.1_cluster_1	GCF0000107
CP003259.1_cluster_14	GCF0000108
JAIOIJ010000110.1_cluster_1	GCF0000109
FPCH01000001.1_cluster_2	GCF0000110
QIGN01000088.1_cluster_1	GCF0000111
CP073100.1_cluster_3	GCF0000112
JAENII010000012.1_cluster_1	GCF0000113
JAENIJ010000010.1_cluster_1	GCF0000114
JACHFD010000007.1_cluster_1	GCF0000115
CABJAI010000002.1_cluster_1	GCF0000116
CP080292.1_cluster_1	GCF0000117
FMYM01000009.1_cluster_1	GCF0000118
LXUH01000073.1_cluster_1	GCF0000119
WFLN01000004.1_cluster_1	GCF0000120
CP017834.1_cluster_6	GCF0000121
VTDH02000001.1_cluster_1	GCF0000122
JXBA01000296.1_cluster_1	GCF0000123
MTJZ01000003.1_cluster_1	GCF0000124
FPAB01000003.1_cluster_1	GCF0000125
CP064057.1_cluster_26	GCF0000126
CP041360.1_cluster_5	GCF0000127
SMJU01000013.1_cluster_1	GCF0000128
JAAAKV010000001.1_cluster_1	GCF0000129
JAAFJV010000035.1_cluster_1	GCF0000130
PKRS01000008.1_cluster_1	GCF0000131
CP002961.1_cluster_1	GCF0000132
LVBB01000016.1_cluster_1	GCF0000133
JAAYVJ010000726.1_cluster_1	GCF0000134
DSEL01000132.1_cluster_1	GCF0000135
JAAYPC010000321.1_cluster_1	GCF0000136
CP078104.1_cluster_1	GCF0000137
AULX01000006.1_cluster_2	GCF0000138
VNJK01000001.1_cluster_11	GCF0000139
AYTM02000002.1_cluster_3	GCF0000140
BATF01000083.1_cluster_1	GCF0000141
CP082780.1_cluster_5	GCF0000142
JADBEL010000001.1_cluster_1	GCF0000143
CP012670.1_cluster_31	GCF0000144
CP012673.1_cluster_40	GCF0000145
VCJS01000004.1_cluster_1	GCF0000146
BOOK01000071.1_cluster_1	GCF0000147
ANAW01000275.1_cluster_1	GCF0000148
CADEAX010000002.1_cluster_1	GCF0000149
SRRY01000001.1_cluster_2	GCF0000150
PYAW01000005.1_cluster_3	GCF0000151
VLLG01000005.1_cluster_2	GCF0000152
WRXO01000004.1_cluster_3	GCF0000153
BGC0002198	GCF0000154
JAITYB010000003.1_cluster_2	GCF0000155
BGC0002749	GCF0000156
DIHE01000131.1_cluster_1	GCF0000157
JAEKLO010000066.1_cluster_1	GCF0000158
CP060725.1_cluster_1	GCF0000159
JABIXO010000053.1_cluster_1	GCF0000160
QNQN01000074.1_cluster_1	GCF0000161
NZXG01000026.1_cluster_1	GCF0000162
CACSII010000006.1_cluster_1	GCF0000163
AQHR01000021.1_cluster_1	GCF0000164
JABSPA010000007.1_cluster_1	GCF0000165
JACCWG010000251.1_cluster_1	GCF0000166
CAJXUH010000006.1_cluster_1	GCF0000167
LSLK01000032.1_cluster_1	GCF0000168
VLKC01000002.1_cluster_2	GCF0000169
JAGZJZ010000019.1_cluster_1	GCF0000170
FOPE01000006.1_cluster_1	GCF0000171
SVCL01000179.1_cluster_1	GCF0000172
JAIBAY010000009.1_cluster_1	GCF0000173
NJFZ01000009.1_cluster_1	GCF0000174
DOUC01000030.1_cluster_1	GCF0000175
VFTD01000005.1_cluster_1	GCF0000176
JAHHHB010000001.1_cluster_2	GCF0000177
KB731324.1_cluster_7	GCF0000178
CP003259.1_cluster_1	GCF0000179
FRCP01000011.1_cluster_1	GCF0000180
JAETWB010000002.1_cluster_2	GCF0000181
RCVR01000002.1_cluster_1	GCF0000182
BCYE01000017.1_cluster_1	GCF0000183
CABPXA010000010.1_cluster_1	GCF0000184
BLPF01000002.1_cluster_3	GCF0000185
JAFAXQ010000280.1_cluster_1	GCF0000186
CAIUOO010000099.1_cluster_1	GCF0000187
PLCT01000025.1_cluster_1	GCF0000188
ARYZ02000134.1_cluster_1	GCF0000189
BAFN01000001.1_cluster_3	GCF0000190
WYAU01000040.1_cluster_1	GCF0000191
AHSU01000032.1_cluster_1	GCF0000192
APAV01000010.1_cluster_1	GCF0000193
CAJLQW010000011.1_cluster_1	GCF0000194
JQKG01000002.1_cluster_1	GCF0000195
QJSX01000003.1_cluster_2	GCF0000196
KB906409.1_cluster_1	GCF0000197
CP064972.1_cluster_2	GCF0000198
JACTMI010000010.1_cluster_1	GCF0000199
JAGPDF010000001.1_cluster_1	GCF0000200
JAHNZO010000003.1_cluster_1	GCF0000201
FOFT01000002.1_cluster_1	GCF0000202
LGDY01000111.1_cluster_1	GCF0000203
AAXVMG010000077.1_cluster_1	GCF0000204
LUAX01000008.1_cluster_1	GCF0000205
CP031417.1_cluster_1	GCF0000206
CP031417.1_cluster_2	GCF0000207
WLWN01000001.1_cluster_2	GCF0000208
JAALKA010000215.1_cluster_1	GCF0000209
WLWN01000001.1_cluster_7	GCF0000210
FRBT01000015.1_cluster_1	GCF0000211
CP019288.1_cluster_6	GCF0000212
PBOR01000016.1_cluster_1	GCF0000213
JABIUR010000091.1_cluster_1	GCF0000214
PBOR01000016.1_cluster_2	GCF0000215
WLWY01000006.1_cluster_2	GCF0000216
CAITMJ010000009.1_cluster_1	GCF0000217
JAFEGH010000006.1_cluster_1	GCF0000218
LNES01000003.1_cluster_2	GCF0000219
DEEE01000040.1_cluster_1	GCF0000220
FMUR01000028.1_cluster_1	GCF0000221
JAGOVA010000078.1_cluster_1	GCF0000222
LT837803.1_cluster_1	GCF0000223
JAGOSV010000063.1_cluster_1	GCF0000224
CABFPG010000002.1_cluster_1	GCF0000225
SIUB01000001.1_cluster_1	GCF0000226
JADJDW010000015.1_cluster_1	GCF0000227
JADJTX010000062.1_cluster_1	GCF0000228
JADJMZ010000003.1_cluster_2	GCF0000229
